Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,890,940,940,1040,1100,1250,1290,1530,1640,1730,1960,1970,1960,1940
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3300,3770,4140,4600,4870,5250,5660,6060,6830,7490,8270,8680,9550,10180,10450,10600,11170,11310
Algeria,DZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,7170,7360,7690,8170,8570,9280,9760,10440,10890,11680,12090,12150,12610,12890,13200,13480,13950,14300
American Samoa,ASM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2370,2280,2480,2580,2480,2600,2840,3290,3930,4910,5270,5720,5740,5920,6020,6390,6590,6470
Antigua and Barbuda,ATG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,13630,14030,14440,14430,14580,15670,16710,18260,21130,23500,23600,20760,19590,19290,20030,20460,21460,22280
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,11830,11460,11500,11090,9480,10530,11720,13290,14810,16510,17340,16170,17730,19120,19150,19760,19420,19980
Armenia,ARM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2080,2190,2380,2690,3120,3630,4120,4910,5790,6830,7520,6410,6690,7050,7700,8210,8500,8770
Aruba,ABW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23450,24480,25610,26630,27900,28850,30420,31350,32990,34930,35950,38850,37650,40090,41300,44430,45060,45320
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,26430,27300,29000,29330,30970,31930,33600,34760,37560,39070,41360,40690,42260,44390,46280,47890,48760,49160
Azerbaijan,AZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2890,3110,3340,3710,4120,4650,5100,6280,8570,10560,12310,13720,14600,14590,14870,16210,17000,17170
"Bahamas, The",BHS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,18080,19230,20130,20720,21190,21010,21380,22070,22780,23260,23160,21760,21770,22020,22690,22560,22250,21970
Bahrain,BHR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,32710,32900,34630,34440,34030,35420,36730,38430,39060,40090,39060,34940,35500,34170,35590,37380,37620,38660
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1220,1270,1350,1420,1480,1560,1660,1800,1980,2160,2340,2450,2600,2780,3000,3180,3350,3560
Barbados,BRB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,10380,10480,11140,11060,11260,11700,12130,12820,13700,14530,14620,14260,14660,14340,15060,15160,15400,15610
Belarus,BLR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5030,5320,5780,6220,6690,7380,8510,9680,10990,12230,13740,13760,15060,16410,16820,17040,17720,16920
Belgium,BEL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,25120,26220,28670,29550,30990,31630,32690,33720,35890,37340,39030,38090,41390,41660,43390,44210,44980,45770
Belize,BLZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4450,4670,5170,5310,5540,5900,6050,6290,6610,6530,6720,7060,6990,7350,7520,7590,7800,8020
Benin,BEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1190,1240,1300,1350,1390,1410,1470,1500,1560,1640,1710,1710,1710,1760,1810,1930,2030,2050
Bermuda,BMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,75090,74800,68450,68910,68110,67140,66670,..,..
Bhutan,BTN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2140,2220,2850,3060,3290,3490,3680,4000,4350,5100,5270,5490,6000,6450,6690,6910,7330,7630
Bolivia,BOL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3330,3320,3400,3480,3550,3610,3770,4020,4280,4510,4830,4910,5070,5330,5540,5910,6320,6710
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4500,4820,4980,5150,5460,5630,6070,6630,7490,8260,9150,9130,9190,9600,9770,10340,10550,10900
Botswana,BWA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,7500,7620,7710,8090,7680,8400,8630,9400,10420,11480,12190,11660,12300,13540,14250,15150,15660,15510
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8150,8120,8600,8770,9070,9220,9930,10440,11030,11870,12510,12470,13700,14450,14930,15630,15730,15140
British Virgin Islands,VGB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,62140,63630,65560,67570,69950,72120,73190,74540,78850,80110,78660,76680,77420,79130,80340,79780,78870,82140
Bulgaria,BGR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5890,5670,6210,6970,7930,8520,9280,10300,11100,11970,13720,13680,14650,15180,15990,16280,17260,17880
Burkina Faso,BFA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,790,840,850,900,920,990,1030,1120,1200,1240,1300,1310,1390,1470,1550,1590,1610,1660
Burundi,BDI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,570,560,570,570,580,560,580,590,630,650,680,680,690,710,730,750,770,730
Cabo Verde,CPV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2360,2590,2940,3060,3170,3330,3720,3990,4380,5250,5650,5590,5590,5910,5990,6110,6160,6320
Cambodia,KHM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,890,970,1050,1140,1200,1310,1460,1670,1880,2110,2250,2230,2350,2520,2700,2890,3090,3300
Cameroon,CMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1700,1750,1780,1840,1920,2030,2140,2190,2310,2360,2430,2460,2490,2580,2670,2780,2960,3070
Canada,CAN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,25240,26720,28420,29220,30070,31390,33020,35390,37400,38860,39680,38120,39230,40780,41400,43480,44390,43580
Cayman Islands,CYM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,640,660,650,680,700,670,710,730,780,820,840,850,870,900,940,590,600,620
Chad,TCD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,830,800,780,850,890,860,1150,1350,1340,1410,1400,1620,1820,1810,1950,1980,2080,2110
Channel Islands,CHI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8700,8580,9490,9900,10110,10500,11060,11870,13780,15020,15260,15180,17020,19140,20480,21690,22230,22760
China,CHN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2420,2630,2900,3180,3520,3940,4440,5060,5870,6880,7680,8360,9290,10290,11320,12270,13460,14320
Colombia,COL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6410,6150,6440,6580,6740,6990,7460,7950,8640,9350,9740,9890,10260,10970,11570,12250,12950,13550
Comoros,COM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1040,1050,1160,1190,1200,1220,1240,1290,1330,1360,1350,1350,1360,1390,1420,1470,1490,1490
"Congo, Dem. Rep.",COD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,440,400,400,380,390,410,440,460,480,510,520,530,560,580,610,630,680,720
"Congo, Rep.",COG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2700,2400,2600,2690,2850,2940,2810,2970,3150,3220,3610,3730,4120,4180,4470,4670,5220,6320
Costa Rica,CRI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,7040,6560,7460,7760,8000,8380,8880,9420,10360,11410,12080,11720,12320,12940,13690,13960,14410,14910
Cote d'Ivoire,CIV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2290,2290,2140,2100,2030,1950,2090,2320,2380,2440,2500,2540,2570,2450,2710,2890,3140,3260
Croatia,HRV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,9770,9550,10550,11120,12090,12700,13870,14550,16540,18390,19690,18840,18670,20140,20500,21240,21560,22380
Cuba,CUB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,7580,8140,8770,9260,9490,10050,10880,12490,14450,15830,16780,16980,17660,18630,19550,20410,..,..
Curacao,CUW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19980,19220,20540,22140,23140,23650,25290,27250,29350,32460,34110,33480,32290,33190,30900,29180,29370,31430
Czech Republic,CZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,14670,15020,15840,17080,17510,18720,19820,20920,22310,24390,25980,25630,25580,26620,27250,28690,30200,31550
Denmark,DNK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,25510,26430,28050,29110,30280,30590,33080,34430,37770,39150,41740,40780,43790,45340,45820,48250,49580,50660
Djibouti,DJI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1660,1700,1730,1760,1810,1980,2120,2220,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5750,5690,5720,6170,6080,6700,6990,7270,8020,8670,9530,9590,9840,9970,9830,10130,10640,10500
Dominican Republic,DOM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5330,5670,6040,6190,6550,6410,6450,7380,8340,9190,9670,9710,10630,10890,11250,11710,12650,13600
Ecuador,ECU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5820,5380,5400,5790,6080,6250,6810,7330,7790,8040,8710,8710,9030,9770,10360,10880,11330,11270
"Egypt, Arab Rep.",EGY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5420,5720,6050,6300,6360,6550,6870,7280,7930,8610,9240,9490,9700,9810,10010,10130,10330,10710
El Salvador,SLV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4640,4790,4990,5170,5320,5500,5730,6100,6540,6960,7200,6940,7120,7390,7570,7780,7990,8240
Equatorial Guinea,GNQ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5380,7090,6400,6430,8530,7850,9730,17160,28630,33370,36050,31880,25320,29440,32300,30820,29860,27200
Eritrea,ERI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1350,1340,1280,1370,1380,1310,1320,1360,1360,1380,1240,1270,1290,1400,..,..,..,..
Estonia,EST,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,9060,9840,11050,12360,13720,15870,18270,20440,21470,19900,20480,23310,24970,26820,27800,28390
Ethiopia,ETH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,450,460,490,520,530,510,580,650,720,810,890,950,1050,1160,1250,1370,1500,1620
Faroe Islands,FRO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4670,5120,5390,5450,5800,5920,6390,6710,6630,6800,6920,6950,6980,7260,7440,8100,8480,8850
Finland,FIN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23080,24520,26570,27820,28650,28810,31360,32130,34710,37810,40040,38350,39340,40870,40830,41470,41900,42600
France,FRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23770,24930,26680,28180,28930,28610,29590,31140,33200,34860,35910,35390,36760,38320,38180,40090,40680,41680
French Polynesia,PYF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,14110,12630,11920,12580,12960,12930,12440,13860,12970,13550,13180,13290,13900,14750,16130,16980,18510,18880
"Gambia, The",GMB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1090,1140,1190,1240,1170,1250,1330,1310,1310,1350,1440,1540,1610,1510,1570,1610,1580,..
Georgia,GEO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2470,2600,2690,2830,3030,3470,3870,4410,5100,5850,6080,5990,6390,7100,7950,8380,9130,9340
Germany,DEU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,25200,26140,27100,28300,28980,29720,31660,32250,34850,36970,38400,37910,40040,43770,44590,46360,48150,49090
Ghana,GHA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1640,1700,1750,1830,1890,1980,2090,2250,2420,2530,2740,2830,2970,3320,3540,3860,3920,4080
Gibraltar,GIB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,18100,18260,19640,21170,22610,23800,25160,25620,28010,28530,29940,29720,27630,25430,25450,26090,26510,26470
Greenland,GRL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6140,6850,7150,7040,7310,8160,8100,10160,10010,10730,11040,10020,10390,10760,10770,11300,12230,13090
Guam,GUM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4470,4590,4740,4880,4980,5080,5230,5450,5750,6130,6310,6220,6340,6560,6800,7040,7290,7530
Guinea,GIN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,810,850,880,910,970,920,950,970,970,1020,1030,1020,1040,1080,1130,1140,1140,1120
Guinea-Bissau,GNB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,900,900,980,1000,1000,1010,1040,1100,1150,1190,1220,1240,1300,1420,1380,1380,1400,1450
Guyana,GUY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3130,3310,3360,3470,3590,3660,3590,3980,4430,4900,5150,5340,5700,6060,6520,6960,7180,7540
Haiti,HTI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1330,1360,1380,1370,1360,1370,1340,1380,1440,1510,1530,1560,1480,1570,1630,1690,1740,1760
Honduras,HND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2560,2520,2670,2740,2820,2930,3110,3360,3620,3940,4130,4030,4050,4200,4310,4430,4600,4750
"Hong Kong SAR, China",HKG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,24130,25210,27180,28160,28470,30560,33720,36630,40880,44670,47440,45250,48130,51450,52020,54480,56680,57860
Hungary,HUN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,9840,10270,11270,12590,13790,14730,15340,16100,17300,17690,19330,19640,20470,21670,22080,23750,24450,25220
Iceland,ISL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,27880,28750,28560,30610,32030,31800,33820,35710,36440,38970,33860,33390,32200,34440,36480,41480,43930,47160
India,IND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1750,1900,1980,2090,2170,2340,2560,2840,3150,3470,3620,3900,4270,4590,4860,5190,5600,6030
Indonesia,IDN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4070,4020,4300,4630,4890,5110,5400,5790,6260,6750,7240,7540,8070,8620,9190,9710,10210,10690
"Iran, Islamic Rep.",IRN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8770,8790,9430,9740,10580,11570,12220,12990,14020,15570,15850,16100,17170,17950,16900,16620,17430,..
Iraq,IRQ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8160,9410,9590,9740,8860,6000,9250,9840,10880,11080,12340,12200,12560,13190,14890,15490,15190,15340
Ireland,IRL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,22450,23540,26280,27840,29520,31290,33400,35070,38960,40580,38500,34890,36460,37650,38330,41100,43540,54610
Isle of Man,IMN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,20130,20370,22710,23550,24020,22630,24400,24310,25280,27150,26650,26690,28220,30110,30880,33570,34550,36040
Italy,ITA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,24780,25480,26900,27910,28510,28940,29420,30100,32480,34010,35080,34530,35010,36250,36190,36100,36290,37010
Jamaica,JAM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5960,6040,6180,6290,6380,6730,6980,7210,7680,7960,8100,7660,7750,8060,8330,8390,8540,8680
Japan,JPN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,25370,25630,27180,27900,28560,29320,30950,32350,33920,35570,35710,33910,35900,36790,38210,40330,40880,42310
Jordan,JOR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5560,5740,6210,6610,6910,7220,7940,8620,9290,10000,10400,10490,10150,10230,10300,10460,10660,10760
Kazakhstan,KAZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6560,6770,7350,8660,9760,10720,11860,12920,14220,15590,15830,16370,17110,18220,19370,21250,22310,23480
Kenya,KEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1670,1680,1690,1750,1750,1780,1880,2020,2150,2300,2290,2330,2480,2620,2710,2830,2950,3070
Kiribati,KIR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2660,2410,2590,2730,2620,2520,2510,2530,2570,2490,2520,2400,2470,2340,2600,2980,3590,4230
"Korea, Dem. People’s Rep.",PRK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,14500,16250,17950,19060,20700,21310,22920,24030,25770,27790,28720,28330,30500,31510,32550,33050,33960,34810
Kosovo,XKX,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,6590,7350,7550,7600,7890,8420,8800,9090,9350,9870
Kuwait,KWT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,73890,67000,69370,67100,65190,74820,83700,91140,97360,99740,94680,84460,77500,80860,84220,82610,82020,84360
Kyrgyz Republic,KGZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1420,1450,1550,1690,1700,1840,1980,2030,2180,2420,2570,2640,2560,2610,2850,3100,3250,3310
Lao PDR,LAO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1580,1720,1780,1900,2020,2110,2310,2560,2730,3030,3230,3500,3650,3920,4270,4670,5070,5400
